"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 19일","5,530","5,460","5,560","5,430","0.09K","-2.12%"
"2022년 05월 18일","5,650","5,700","5,740","5,610","229.64K","-0.88%"
"2022년 05월 17일","5,700","5,620","5,700","5,560","222.24K","1.60%"
"2022년 05월 16일","5,610","5,540","5,660","5,530","287.75K","1.26%"
"2022년 05월 13일","5,540","5,430","5,560","5,370","242.09K","2.40%"
"2022년 05월 12일","5,410","5,490","5,630","5,380","0.14K","-2.87%"
"2022년 05월 11일","5,570","5,590","5,710","5,510","266.52K","-1.94%"
"2022년 05월 10일","5,680","5,500","5,700","5,360","529.09K","0.00%"
"2022년 05월 09일","5,680","5,960","6,120","5,630","585.11K","-5.65%"
"2022년 05월 08일","6,020","6,020","6,020","6,020","-","0.00%"
"2022년 05월 06일","6,020","6,020","6,140","6,000","427.84K","-2.43%"
"2022년 05월 05일","6,170","6,170","6,170","6,170","-","0.00%"
"2022년 05월 04일","6,170","6,290","6,360","6,120","422.64K","-1.12%"
"2022년 05월 03일","6,240","6,310","6,400","6,240","459.57K","-0.95%"
"2022년 05월 02일","6,300","6,220","6,350","6,180","500.17K","-2.02%"
"2022년 05월 01일","6,430","6,430","6,430","6,430","-","0.00%"
"2022년 04월 29일","6,430","6,420","6,600","6,360","896.75K","0.47%"
"2022년 04월 28일","6,400","6,540","7,000","6,370","5.26M","2.89%"
"2022년 04월 27일","6,220","6,240","6,370","6,180","541.84K","-4.16%"
"2022년 04월 26일","6,490","6,440","6,560","6,160","986.76K","1.56%"
"2022년 04월 25일","6,390","6,800","6,840","6,390","1.17M","-5.05%"
"2022년 04월 24일","6,730","6,730","6,730","6,730","-","0.00%"
"2022년 04월 22일","6,730","6,620","6,870","6,520","3.01M","3.70%"
"2022년 04월 21일","6,490","6,550","6,590","6,390","856.52K","-0.76%"
"2022년 04월 20일","6,540","6,190","6,620","6,160","2.15M","5.83%"
"2022년 04월 19일","6,180","6,080","6,200","6,030","505.94K","3.00%"
"2022년 04월 18일","6,000","6,110","6,140","5,970","419.17K","-1.80%"
"2022년 04월 17일","6,110","6,110","6,110","6,110","-","0.00%"
"2022년 04월 15일","6,110","6,030","6,170","6,010","387.45K","0.66%"
"2022년 04월 14일","6,070","6,110","6,200","6,070","357.42K","-0.33%"
"2022년 04월 13일","6,090","6,140","6,300","6,060","549.90K","-0.16%"
"2022년 04월 12일","6,100","6,110","6,240","6,000","532.28K","-1.29%"
"2022년 04월 11일","6,180","6,320","6,390","6,150","524.52K","-2.98%"
"2022년 04월 10일","6,370","6,370","6,370","6,370","-","0.00%"
"2022년 04월 08일","6,370","6,340","6,480","6,240","497.91K","0.47%"
"2022년 04월 07일","6,340","6,630","6,690","6,320","1.03M","-5.37%"
