"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 05월 18일","2,290","2,195","2,290","2,195","1.22M","4.33%"
"2021년 05월 17일","2,195","2,260","2,270","2,175","0.01K","-2.44%"
"2021년 05월 16일","2,250","2,250","2,250","2,250","-","0.00%"
"2021년 05월 14일","2,250","2,410","2,445","2,250","2.85M","-6.44%"
"2021년 05월 13일","2,405","2,390","2,555","2,340","26.26K","-1.03%"
"2021년 05월 12일","2,430","2,280","2,695","2,280","3.65K","6.58%"
"2021년 05월 11일","2,280","2,230","2,310","2,215","0.66K","1.11%"
"2021년 05월 10일","2,255","2,360","2,360","2,255","1.27K","-3.43%"
"2021년 05월 09일","2,335","2,335","2,335","2,335","-","0.00%"
"2021년 05월 07일","2,335","2,390","2,390","2,325","2.75M","-0.43%"
"2021년 05월 06일","2,345","2,330","2,670","2,290","30.98M","3.30%"
"2021년 05월 05일","2,270","2,270","2,270","2,270","-","0.00%"
"2021년 05월 04일","2,270","2,250","2,290","2,160","6.13M","0.89%"
"2021년 05월 03일","2,250","2,080","2,470","2,075","60.67M","8.17%"
"2021년 05월 02일","2,080","2,080","2,080","2,080","-","0.00%"
"2021년 04월 30일","2,080","2,030","2,160","2,025","2.77M","1.96%"
"2021년 04월 29일","2,040","2,085","2,090","2,005","1.00M","-2.16%"
"2021년 04월 28일","2,085","2,120","2,160","2,075","1.17M","-1.18%"
"2021년 04월 27일","2,110","2,125","2,210","2,100","8.47M","0.48%"
"2021년 04월 26일","2,100","2,050","2,125","2,050","1.27M","2.44%"
"2021년 04월 25일","2,050","2,050","2,050","2,050","-","0.00%"
"2021년 04월 23일","2,050","2,050","2,085","2,015","1.01M","0.49%"
"2021년 04월 22일","2,040","2,025","2,090","2,015","1.49M","1.24%"
"2021년 04월 21일","2,015","2,015","2,040","2,005","652.96K","0.00%"
"2021년 04월 20일","2,015","2,005","2,035","2,005","395.19K","0.50%"
"2021년 04월 19일","2,005","2,045","2,050","2,000","668.35K","-1.96%"
"2021년 04월 18일","2,045","2,045","2,045","2,045","-","0.00%"
"2021년 04월 16일","2,045","2,015","2,055","2,015","644.23K","1.74%"
"2021년 04월 15일","2,010","2,060","2,085","2,010","882.60K","-2.43%"
"2021년 04월 14일","2,060","2,080","2,085","2,020","1.41M","-0.48%"
"2021년 04월 13일","2,070","2,045","2,220","2,015","12.68M","1.47%"
"2021년 04월 12일","2,040","2,040","2,065","2,020","823.49K","-0.24%"
"2021년 04월 09일","2,045","2,045","2,065","2,015","930.82K","-0.24%"
"2021년 04월 08일","2,050","2,055","2,060","1,985","1.77M","-0.24%"
"2021년 04월 07일","2,055","2,000","2,080","1,970","3.00M","3.27%"
"2021년 04월 06일","1,990","2,045","2,050","1,985","1.02M","-1.97%"
"2021년 04월 05일","2,030","1,995","2,060","1,990","2.73M","2.27%"
"2021년 04월 02일","1,985","1,990","1,995","1,955","647.92K","-0.25%"
"2021년 04월 01일","1,990","1,955","2,005","1,945","1.53M","2.58%"
"2021년 03월 31일","1,940","1,960","1,960","1,925","626.81K","-1.02%"
"2021년 03월 30일","1,960","1,975","1,975","1,940","521.23K","-0.25%"
"2021년 03월 29일","1,965","1,940","1,965","1,920","749.41K","1.29%"
"2021년 03월 26일","1,940","1,940","1,970","1,920","802.17K","0.00%"
"2021년 03월 25일","1,940","1,950","1,955","1,915","724.94K","-0.51%"
"2021년 03월 24일","1,950","1,925","1,950","1,905","859.35K","1.56%"
"2021년 03월 23일","1,920","1,995","2,000","1,905","1.89M","-4.00%"
"2021년 03월 22일","2,000","1,990","2,020","1,970","1.40M","0.50%"
"2021년 03월 21일","1,990","1,990","1,990","1,990","-","0.00%"
"2021년 03월 19일","1,990","1,965","2,040","1,960","2.72M","0.00%"
"2021년 03월 18일","1,990","2,050","2,060","1,970","5.18M","-4.10%"
"2021년 03월 17일","2,075","1,900","2,240","1,900","64.75M","8.64%"
"2021년 03월 16일","1,910","1,875","1,920","1,840","1.45M","2.69%"
"2021년 03월 15일","1,860","1,855","1,875","1,845","590.45K","0.27%"
"2021년 03월 12일","1,855","1,850","1,875","1,835","853.88K","1.09%"
"2021년 03월 11일","1,835","1,850","1,860","1,820","941.64K","-1.61%"
"2021년 03월 10일","1,865","1,800","1,915","1,780","4.63M","3.90%"
"2021년 03월 09일","1,795","1,830","1,835","1,775","370.48K","-1.91%"
"2021년 03월 08일","1,830","1,835","1,835","1,790","514.90K","1.39%"
"2021년 03월 05일","1,805","1,780","1,815","1,765","308.44K","1.12%"
"2021년 03월 04일","1,785","1,790","1,805","1,765","217.88K","-0.83%"
"2021년 03월 03일","1,800","1,740","1,835","1,740","646.36K","2.86%"
"2021년 03월 02일","1,750","1,780","1,785","1,750","148.12K","-0.85%"
"2021년 02월 26일","1,765","1,740","1,765","1,720","422.74K","0.00%"
"2021년 02월 25일","1,765","1,765","1,800","1,745","353.54K","1.44%"
"2021년 02월 24일","1,740","1,785","1,825","1,735","617.66K","-2.52%"
"2021년 02월 23일","1,785","1,790","1,870","1,770","1.65M","-0.28%"
"2021년 02월 22일","1,790","1,780","1,820","1,765","410.14K","0.28%"
"2021년 02월 19일","1,785","1,790","1,795","1,755","270.42K","-0.28%"
"2021년 02월 18일","1,790","1,810","1,825","1,790","342.27K","-1.38%"
"2021년 02월 17일","1,815","1,775","1,830","1,775","726.89K","2.54%"
"2021년 02월 16일","1,770","1,765","1,785","1,745","300.16K","0.57%"
"2021년 02월 15일","1,760","1,770","1,770","1,745","239.65K","0.86%"
"2021년 02월 10일","1,745","1,735","1,750","1,730","130.90K","0.58%"
"2021년 02월 09일","1,735","1,745","1,760","1,715","249.69K","-0.86%"
"2021년 02월 08일","1,750","1,760","1,765","1,735","171.36K","0.00%"
"2021년 02월 07일","1,750","1,750","1,750","1,750","-","0.00%"
"2021년 02월 05일","1,750","1,775","1,780","1,750","180.83K","-1.13%"
"2021년 02월 04일","1,770","1,760","1,785","1,745","257.05K","0.85%"
"2021년 02월 03일","1,755","1,750","1,780","1,745","165.94K","0.00%"
"2021년 02월 02일","1,755","1,760","1,775","1,740","371.65K","0.29%"
"2021년 02월 01일","1,750","1,700","1,800","1,695","502.83K","2.04%"
"2021년 01월 31일","1,715","1,715","1,715","1,715","-","0.00%"
