"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 09월 29일","7,520","7,530","7,540","7,340","11.97K","2.73%"
"2020년 09월 28일","7,320","7,380","7,380","7,190","3.66K","0.27%"
"2020년 09월 25일","7,300","7,100","7,370","7,090","6.48K","2.53%"
"2020년 09월 24일","7,120","7,390","7,390","7,120","15.96K","-4.04%"
"2020년 09월 23일","7,420","7,570","7,620","7,420","13.88K","-1.98%"
"2020년 09월 22일","7,570","7,800","7,870","7,570","24.56K","-4.18%"
"2020년 09월 21일","7,900","7,760","7,900","7,710","34.64K","0.77%"
"2020년 09월 18일","7,840","8,070","8,200","7,840","51.19K","-2.61%"
"2020년 09월 17일","8,050","7,900","9,500","7,780","989.37K","2.94%"
"2020년 09월 16일","7,820","7,690","8,030","7,670","25.89K","1.56%"
"2020년 09월 15일","7,700","7,710","7,750","7,670","11.25K","-0.13%"
"2020년 09월 14일","7,710","7,750","7,750","7,640","13.15K","-0.77%"
"2020년 09월 11일","7,770","7,780","7,800","7,690","4.05K","0.13%"
"2020년 09월 10일","7,760","7,740","7,790","7,660","6.91K","0.26%"
"2020년 09월 09일","7,740","7,730","7,740","7,610","10.64K","0.00%"
"2020년 09월 08일","7,740","7,690","7,740","7,610","12.75K","0.65%"
"2020년 09월 07일","7,690","7,780","7,780","7,510","12.64K","-0.13%"
"2020년 09월 04일","7,700","7,610","7,760","7,600","19.69K","-0.77%"
"2020년 09월 03일","7,760","7,680","7,830","7,680","4.92K","0.39%"
"2020년 09월 02일","7,730","7,740","7,770","7,610","10.53K","-0.13%"
"2020년 09월 01일","7,740","7,750","7,770","7,620","8.34K","-0.13%"
"2020년 08월 31일","7,750","7,700","7,760","7,570","6.10K","1.44%"
"2020년 08월 28일","7,640","7,590","7,750","7,590","7.89K","-0.65%"
"2020년 08월 27일","7,690","7,760","7,770","7,600","9.99K","-0.90%"
"2020년 08월 26일","7,760","7,730","7,780","7,660","4.87K","0.26%"
"2020년 08월 25일","7,740","7,830","7,860","7,590","20.85K","-0.13%"
"2020년 08월 24일","7,750","7,950","7,960","7,750","9.40K","-2.52%"
"2020년 08월 21일","7,950","7,970","8,090","7,710","11.49K","-0.25%"
"2020년 08월 20일","7,970","8,100","8,250","7,800","22.09K","-1.60%"
"2020년 08월 19일","8,100","7,900","8,300","7,800","30.57K","2.53%"
"2020년 08월 18일","7,900","8,270","8,380","7,730","51.23K","-4.47%"
"2020년 08월 14일","8,270","8,160","8,280","8,040","23.30K","0.36%"
"2020년 08월 13일","8,240","8,200","8,240","8,110","13.72K","1.98%"
"2020년 08월 12일","8,080","8,230","8,230","8,020","16.49K","-0.62%"
"2020년 08월 11일","8,130","8,140","8,340","8,130","11.56K","-0.12%"
"2020년 08월 10일","8,140","8,350","8,360","8,130","23.35K","-2.51%"
"2020년 08월 09일","8,350","8,350","8,350","8,350","-","0.00%"
"2020년 08월 07일","8,350","8,140","8,610","8,050","43.68K","2.58%"
"2020년 08월 06일","8,140","8,240","8,260","8,090","20.67K","-1.21%"
"2020년 08월 05일","8,240","8,350","8,450","8,190","11.12K","0.73%"
"2020년 08월 04일","8,180","8,160","8,270","8,140","14.07K","0.25%"
"2020년 08월 03일","8,160","8,340","8,400","8,160","12.04K","-2.16%"
"2020년 08월 02일","8,340","8,340","8,340","8,340","-","0.00%"
"2020년 07월 31일","8,340","8,470","8,470","8,250","16.37K","-1.53%"
"2020년 07월 30일","8,470","8,400","8,530","8,350","7.78K","1.19%"
"2020년 07월 29일","8,370","8,300","8,380","8,200","9.09K","0.00%"
"2020년 07월 28일","8,370","8,570","8,570","8,370","17.19K","-1.65%"
"2020년 07월 27일","8,510","8,400","8,550","8,390","13.91K","0.59%"
"2020년 07월 24일","8,460","8,560","8,640","8,350","28.18K","-1.17%"
"2020년 07월 23일","8,560","8,690","8,780","8,470","30.77K","-1.50%"
"2020년 07월 22일","8,690","8,710","8,780","8,610","19.42K","-0.11%"
"2020년 07월 21일","8,700","8,930","8,990","8,550","30.85K","-2.58%"
"2020년 07월 20일","8,930","9,410","9,410","8,830","62.84K","-5.30%"
"2020년 07월 19일","9,430","9,430","9,430","9,430","-","0.00%"
"2020년 07월 17일","9,430","9,600","9,650","9,310","42.81K","-0.63%"
"2020년 07월 16일","9,490","9,020","9,560","9,000","89.17K","6.39%"
"2020년 07월 15일","8,920","8,970","9,050","8,850","19.07K","0.68%"
"2020년 07월 14일","8,860","8,790","8,940","8,650","11.95K","0.68%"
"2020년 07월 13일","8,800","8,760","8,890","8,740","9.10K","0.57%"
"2020년 07월 10일","8,750","9,150","9,170","8,680","20.53K","-3.85%"
"2020년 07월 09일","9,100","9,160","9,230","8,950","20.03K","-0.66%"
"2020년 07월 08일","9,160","8,940","9,800","8,940","66.65K","1.55%"
"2020년 07월 07일","9,020","9,000","9,110","8,750","36.15K","1.92%"
"2020년 07월 06일","8,850","8,680","9,030","8,680","24.70K","1.14%"
"2020년 07월 03일","8,750","8,890","8,920","8,730","16.10K","-0.57%"
"2020년 07월 02일","8,800","8,990","9,000","8,750","20.02K","0.23%"
"2020년 07월 01일","8,780","8,740","9,000","8,740","19.78K","-0.23%"
"2020년 06월 30일","8,800","8,700","9,050","8,690","28.55K","1.15%"
"2020년 06월 29일","8,700","8,280","9,230","8,270","89.41K","2.47%"
"2020년 06월 26일","8,490","8,590","8,600","8,400","34.82K","1.31%"
"2020년 06월 25일","8,380","8,490","8,490","8,310","21.42K","-1.87%"
"2020년 06월 24일","8,540","8,310","8,580","8,310","33.19K","2.77%"
"2020년 06월 23일","8,310","8,760","8,760","8,250","22.71K","-0.84%"
"2020년 06월 22일","8,380","8,810","8,810","8,360","30.67K","-3.46%"
"2020년 06월 19일","8,680","8,510","8,740","8,420","41.88K","3.09%"
"2020년 06월 18일","8,420","8,160","8,530","8,160","48.01K","1.57%"
"2020년 06월 17일","8,290","8,360","8,480","8,130","38.84K","-0.84%"
"2020년 06월 16일","8,360","8,050","9,100","8,050","224.83K","5.82%"
"2020년 06월 15일","7,900","8,860","8,870","7,900","85.76K","-10.84%"
