"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 01월 15일","7,280","7,480","7,490","7,220","142.20K","-1.22%"
"2021년 01월 14일","7,370","7,460","7,510","7,330","275.34K","-1.47%"
"2021년 01월 13일","7,480","7,590","7,600","7,380","266.24K","1.22%"
"2021년 01월 12일","7,390","7,270","7,440","7,200","442.79K","1.65%"
"2021년 01월 11일","7,270","7,540","7,610","7,210","505.17K","-3.20%"
"2021년 01월 10일","7,510","7,510","7,510","7,510","-","0.00%"
"2021년 01월 08일","7,510","7,600","7,830","7,370","1.02M","-0.53%"
"2021년 01월 07일","7,550","7,410","7,610","7,340","1.04M","3.00%"
"2021년 01월 06일","7,330","7,900","8,290","7,330","5.55M","0.55%"
"2021년 01월 05일","7,290","7,590","7,640","7,250","747.05K","-0.41%"
"2021년 01월 04일","7,320","7,300","7,490","7,100","444.43K","1.39%"
"2020년 12월 30일","7,220","7,000","7,230","6,990","159.32K","3.44%"
"2020년 12월 29일","6,980","6,910","7,120","6,800","110.73K","0.87%"
"2020년 12월 28일","6,920","7,050","7,180","6,910","138.43K","-1.84%"
"2020년 12월 24일","7,050","7,190","7,210","7,000","182.82K","1.15%"
"2020년 12월 23일","6,970","7,060","7,250","6,970","221.25K","-1.97%"
"2020년 12월 22일","7,110","7,450","7,450","7,050","277.52K","-4.95%"
"2020년 12월 21일","7,480","7,550","7,570","7,390","184.91K","-0.80%"
"2020년 12월 20일","7,540","7,540","7,540","7,540","-","0.00%"
"2020년 12월 18일","7,540","7,510","7,580","7,450","235.92K","1.21%"
"2020년 12월 17일","7,450","7,510","7,530","7,410","189.32K","-0.53%"
"2020년 12월 16일","7,490","7,410","7,570","7,410","239.11K","0.27%"
"2020년 12월 15일","7,470","7,580","7,620","7,430","338.03K","-1.06%"
"2020년 12월 14일","7,550","7,500","7,930","7,360","1.52M","1.75%"
"2020년 12월 13일","7,420","7,420","7,420","7,420","-","0.00%"
"2020년 12월 11일","7,420","7,510","8,260","7,400","2.62M","1.23%"
"2020년 12월 10일","7,330","7,280","7,340","7,150","126.81K","0.41%"
"2020년 12월 09일","7,300","7,210","7,450","7,150","246.20K","1.81%"
"2020년 12월 08일","7,170","7,310","7,430","7,160","297.64K","-3.63%"
"2020년 12월 07일","7,440","7,350","7,500","7,330","346.38K","0.27%"
"2020년 12월 04일","7,420","7,580","7,580","7,270","462.03K","-1.20%"
"2020년 12월 03일","7,510","7,650","7,690","7,500","531.79K","-0.40%"
"2020년 12월 02일","7,540","7,490","7,630","7,390","818.38K","1.07%"
"2020년 12월 01일","7,460","7,420","7,800","7,360","1.24M","-0.53%"
"2020년 11월 30일","7,500","7,370","7,630","7,210","1.91M","2.46%"
"2020년 11월 29일","7,320","7,320","7,320","7,320","-","0.00%"
"2020년 11월 27일","7,320","7,430","7,500","7,270","972.22K","-3.05%"
"2020년 11월 26일","7,550","6,880","7,820","6,720","8.62M","10.06%"
"2020년 11월 25일","6,860","6,780","7,820","6,640","9.59M","5.21%"
"2020년 11월 24일","6,520","6,380","6,740","6,340","1.99M","3.66%"
"2020년 11월 23일","6,290","6,350","6,350","6,240","118.51K","-0.63%"
"2020년 11월 20일","6,330","6,290","6,330","6,280","107.04K","0.64%"
