"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 05월 10일","2,415","2,400","2,470","2,390","7.15M","1.26%"
"2021년 05월 09일","2,385","2,385","2,385","2,385","-","0.00%"
"2021년 05월 07일","2,385","2,445","2,475","2,355","5.96M","-1.45%"
"2021년 05월 06일","2,420","2,435","2,545","2,400","15.29M","2.76%"
"2021년 05월 05일","2,355","2,355","2,355","2,355","-","0.00%"
"2021년 05월 04일","2,355","2,420","2,660","2,350","64.26M","-1.67%"
"2021년 05월 03일","2,395","2,320","2,495","2,315","43.62M","6.44%"
"2021년 05월 02일","2,250","2,250","2,250","2,250","-","0.00%"
"2021년 04월 30일","2,250","2,360","2,405","2,245","9.39M","-4.86%"
"2021년 04월 29일","2,365","2,500","2,510","2,315","17.44M","-3.86%"
"2021년 04월 28일","2,460","2,475","2,520","2,420","18.56M","-2.38%"
"2021년 04월 27일","2,520","2,240","2,715","2,240","149.11M","15.86%"
"2021년 04월 26일","2,175","2,185","2,225","2,165","3.08M","0.46%"
"2021년 04월 25일","2,165","2,165","2,165","2,165","-","0.00%"
"2021년 04월 23일","2,165","2,230","2,275","2,145","10.08M","0.70%"
"2021년 04월 22일","2,150","2,170","2,310","2,140","18.63M","0.94%"
"2021년 04월 21일","2,130","2,125","2,170","2,105","4.35M","2.40%"
"2021년 04월 20일","2,080","2,055","2,090","2,050","1.59M","0.97%"
"2021년 04월 19일","2,060","2,100","2,105","2,050","2.60M","-2.14%"
"2021년 04월 18일","2,105","2,105","2,105","2,105","-","0.00%"
"2021년 04월 16일","2,105","2,145","2,190","2,105","5.29M","-0.47%"
"2021년 04월 15일","2,115","2,200","2,220","2,100","5.83M","-3.42%"
"2021년 04월 14일","2,190","2,195","2,390","2,180","37.33M","-1.13%"
"2021년 04월 13일","2,215","2,075","2,455","2,045","109.22M","7.79%"
