일자,총수익지수_종가,총수익지수_대비,순가격지수_종가,순가격지수_대비,제로재투자지수_종가,제로재투자지수_대비,콜재투자지수_종가,콜재투자지수_대비,시장가격지수_종가,시장가격지수_대비,듀레이션,컨벡시티,YTM
"2021/12/27","183.38","0.15","111.26","0.09",,,,,,,"4.724","32.097","2.331"
"2021/12/24","183.23","0.10","111.17","0.04",,,,,,,"4.732","32.187","2.350"
"2021/12/23","183.13","-0.60","111.13","-0.36",,,,,,,"4.734","32.199","2.359"
"2021/12/22","183.73","-0.31","111.49","-0.20",,,,,,,"4.745","32.330","2.295"
"2021/12/21","184.04","0.06","111.69","0.03",,,,,,,"4.751","32.398","2.257"
"2021/12/20","183.98","0.37","111.66","0.22",,,,,,,"4.755","32.468","2.268"
"2021/12/17","183.61","0.00","111.44","-0.02",,,,,,,"4.759","32.490","2.303"
"2021/12/16","183.61","0.27","111.46","0.17",,,,,,,"4.761","32.517","2.301"
"2021/12/15","183.34","-0.06","111.29","-0.05",,,,,,,"4.763","32.538","2.338"
"2021/12/14","183.40","0.85","111.34","0.51",,,,,,,"4.766","32.559","2.325"
"2021/12/13","182.55","-2.24","110.83","-1.08",,,,,,,"4.737","32.160","2.381"
"2021/12/10","184.79","0.52","111.91","0.02",,,,,,,"4.746","32.280","1.966"
"2021/12/09","184.27","0.16","111.89","0.09",,,,,,,"4.448","29.681","1.928"
"2021/12/08","184.11","0.38","111.80","0.23",,,,,,,"4.454","29.741","1.955"
"2021/12/07","183.73","-0.18","111.57","-0.11",,,,,,,"4.451","29.699","1.998"
"2021/12/06","183.91","0.24","111.68","0.14",,,,,,,"4.457","29.779","1.978"
"2021/12/03","183.67","-0.40","111.54","-0.26",,,,,,,"4.463","29.830","2.007"
"2021/12/02","184.07","-0.12","111.80","-0.08",,,,,,,"4.470","29.895","1.952"
"2021/12/01","184.19","0.29","111.88","0.18",,,,,,,"4.474","29.938","1.934"
"2021/11/30","183.90","0.36","111.70","0.21",,,,,,,"4.471","29.900","1.957"
"2021/11/29","183.54","0.00","111.49","0.00",,,,,,,"4.469","29.863","1.997"
