FAO Food Price Index,,,,,,
2014-2016=100,,,,,,
Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
13-Apr,122.9,108.7,140.8,134.9,120.64,110.2
13-May,122.1,105.5,140,136.4,121.05,109.1
13-Jun,120.9,105,140.3,133.8,120.68,105.8
13-Jul,117.9,104.5,141,126.4,116.22,104.2
13-Aug,116.2,105.5,145.6,119.2,111.89,105.4
13-Sep,116.4,106.1,149,116.7,112.92,107.5
13-Oct,118.8,106.4,153,118.7,116.04,115.5
13-Nov,118.7,105.6,151.9,118,121.97,109.3
13-Dec,118.2,104.6,156.5,117.9,120.38,102.4
14-Jan,116.2,103.2,156.2,117,115.58,96.7
14-Feb,118.5,103.6,156.4,119.7,120.84,102.6
14-Mar,122.1,106.2,154.8,125.4,125.38,110.8
14-Apr,121.5,109.7,147.3,125.5,121.53,109
14-May,121.3,112.1,141.8,125.2,119.18,113.1
14-Jun,119.3,116.2,136.1,118.7,115.22,112.5
14-Jul,116.4,117.8,130.2,112.2,110.63,113
14-Aug,113,119.2,120.6,110.4,101.65,106.6
14-Sep,109.3,117.9,110.8,107.4,98.55,99.5
14-Oct,109.4,117.2,107.1,108.2,100.09,103.6
14-Nov,108.2,115.1,102.6,109.3,100.85,100.2
14-Dec,105.1,108.8,98.5,110.9,97.89,94.8
15-Jan,100.7,103.8,92.4,105.9,95,95
15-Feb,98.5,100.5,95.2,101.6,95.18,90.3
15-Mar,95.6,96.8,95.1,99.5,92.62,82
15-Apr,94.7,97.7,90.6,98.2,91.87,80.9
15-May,95,99.5,89.9,95.7,94.49,82.6
15-Jun,94.5,98.6,87.7,96.7,95.89,77.1
15-Jul,93.8,99.1,82.2,98.9,90.43,79
15-Aug,89.6,99.2,79.9,91.9,82.29,71.2
15-Sep,89,97.1,83.2,90.5,81.96,73.4
15-Oct,90.4,92.4,88,91.7,87.76,86.1
15-Nov,87.7,89.1,80.5,90.5,85.13,90
15-Dec,87.1,87,81,89.4,86.68,90.6
16-Jan,84.9,84.2,79.4,87.6,85.29,86.9
16-Feb,86,85.9,78.8,87.3,92.15,81.6
16-Mar,87.4,86.1,76.7,86.5,97.34,95.5
16-Apr,89.2,87.9,77.1,88.4,101.17,93.9
16-May,90.6,90.2,72.7,91.1,99.56,104.8
16-Jun,93.8,94.3,73.9,94.1,97.93,120.4
16-Jul,93,95.3,76,90.4,94.9,121.6
16-Aug,95.3,96.4,81.8,89.3,102.39,124.6
16-Sep,96.1,94.9,90.9,86.3,104.32,132.9
16-Oct,95.9,93,93.8,86.7,101.85,137.5
16-Nov,95.8,93.4,94.5,86,106.16,125.2
16-Dec,95.1,90.7,96.2,86.1,110.26,114.5
17-Jan,97.7,91.9,98.6,88.7,112.19,125.8
17-Feb,98.1,93.9,99.2,90,107.97,125.6
17-Mar,96.2,95.7,100.6,87.9,101.59,111.9
17-Apr,95.1,97.6,100,86.9,97.58,101.7
17-May,97.4,99.5,104.8,88.3,101.96,99.4
17-Jun,98,100.7,109.7,92.4,97.47,86
17-Jul,100.2,101.2,113.9,96.9,96.66,90.5
17-Aug,99.3,100.3,116.9,92.3,99.16,88.9
17-Sep,99.9,99.2,118.4,92.1,103.83,89
17-Oct,98.9,98.4,115.4,91.8,102.68,88.7
17-Nov,98.9,98.4,111.4,92.1,103.85,92.7
17-Dec,96.4,96.1,107.3,92.4,97.96,89
18-Jan,96.8,95.6,106,95.2,98.25,87.2
18-Feb,97.9,97,108.8,98.4,95.6,83.9
18-Mar,99,97.2,111.3,101.8,95.36,80.9
18-Apr,98.6,95.9,110,104,94.02,76.8
18-May,98.7,95.3,111.4,105.5,92.15,76.4
18-Jun,97,95.1,112.3,100.8,89.33,77.4
18-Jul,95.1,94.6,110.1,98.7,86.9,72.5
18-Aug,96,95.8,108.5,103.5,84.43,68.6
18-Sep,94.2,94.1,108.3,100.3,82.33,70.4
18-Oct,93.3,92.3,102.8,100.9,81.33,76.5
18-Nov,92.2,92.9,100,99.6,76.59,79.9
18-Dec,92.2,92.9,97.8,101.1,76.84,78.3
