"행정구역","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_계_10~19세","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_계_80~89세","2022년06월_계_90~99세","2022년06월_계_100세 이상"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,219","21,219","1,037","1,504","2,836","2,470","2,971","3,734","3,456","2,082","991","121","17"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,633","18,633","902","1,282","2,381","2,459","2,646","3,248","3,142","1,606","829","122","16"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,924","16,924","774","1,008","2,532","2,400","2,406","2,848","2,566","1,585","726","75","4"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,409","18,409","1,070","1,863","2,361","2,185","2,744","3,322","2,928","1,201","634","99","2"
"서울특별시 도봉구 방학제1동(1132069000)","28,507","28,507","1,386","2,100","3,791","3,227","4,032","5,272","4,815","2,694","1,042","143","5"
"서울특별시 도봉구 방학제2동(1132070000)","19,400","19,400","775","1,355","2,473","2,094","2,597","3,702","3,430","1,936","927","110","1"
"서울특별시 도봉구 방학제3동(1132071000)","26,745","26,745","1,685","2,613","3,028","3,015","3,962","4,573","4,648","1,966","1,080","169","6"
"서울특별시 노원구 (1135000000)","508,066","508,066","29,488","49,823","69,196","62,445","80,299","86,867","71,128","37,957","18,155","2,618","90"
"서울특별시 노원구 월계1동(1135056000)","21,232","21,232","1,059","1,583","3,659","2,499","3,135","3,367","3,096","1,946","780","102","6"
"서울특별시 노원구 월계2동(1135057000)","26,240","26,240","1,497","1,974","3,024","2,991","3,949","4,466","4,465","2,564","1,123","177","10"
"서울특별시 노원구 월계3동(1135058000)","29,535","29,535","1,987","2,020","3,309","4,427","4,415","4,644","4,693","2,615","1,261","160","4"
"서울특별시 노원구 공릉1동(1135059500)","36,646","36,646","1,779","2,557","6,670","5,025","5,240","5,594","5,577","2,871","1,156","173","4"
"서울특별시 노원구 공릉2동(1135060000)","41,817","41,817","3,150","4,385","6,877","5,751","6,682","6,373","5,009","2,416","1,043","126","5"
"서울특별시 노원구 하계1동(1135061100)","26,825","26,825","1,005","3,174","4,558","2,653","3,820","4,843","3,739","1,869","1,034","126","4"
"서울특별시 노원구 하계2동(1135061200)","21,737","21,737","1,344","2,592","2,812","2,459","3,696","3,879","2,721","1,383","734","117","0"
"서울특별시 노원구 중계본동(1135061900)","23,691","23,691","1,323","4,335","3,008","1,760","4,643","4,551","2,391","1,042","563","72","3"
"서울특별시 노원구 중계1동(1135062100)","26,454","26,454","1,792","5,366","2,851","1,886","6,046","4,682","2,269","961","533","65","3"
"서울특별시 노원구 중계4동(1135062400)","19,676","19,676","977","2,091","2,410","1,859","3,182","3,629","2,694","1,837","862","132","3"
"서울특별시 노원구 중계2.3동(1135062500)","33,787","33,787","1,732","2,945","3,954","3,988","5,319","5,617","4,953","3,310","1,713","248","8"
"서울특별시 노원구 상계1동(1135063000)","37,878","37,878","2,041","3,143","4,922","4,641","5,415","6,825","6,283","3,011","1,386","201","10"
"서울특별시 노원구 상계2동(1135064000)","19,779","19,779","857","1,731","3,091","2,237","2,783","3,842","3,037","1,430","674","93","4"
"서울특별시 노원구 상계3.4동(1135066500)","25,728","25,728","1,252","1,913","2,986","2,716","3,641","4,619","4,411","2,715","1,334","133","8"
"서울특별시 노원구 상계5동(1135067000)","23,666","23,666","961","1,876","3,190","2,578","3,325","4,436","3,811","2,277","1,045","158","9"
"서울특별시 노원구 상계6.7동(1135069500)","32,286","32,286","2,152","2,834","4,234","4,700","5,196","5,650","4,194","2,035","1,079","208","4"
"서울특별시 노원구 상계8동(1135070000)","22,425","22,425","2,164","1,856","2,587","4,715","3,772","3,080","2,364","1,203","582","100","2"
"서울특별시 노원구 상계9동(1135071000)","20,197","20,197","1,174","1,891","2,578","2,680","3,184","3,553","2,883","1,413","712","128","1"
"서울특별시 노원구 상계10동(1135072000)","18,467","18,467","1,242","1,557","2,476","2,880","2,856","3,217","2,538","1,059","541","99","2"
"서울특별시 은평구 (1138000000)","473,674","473,674","26,957","37,009","64,663","66,721","73,559","77,871","67,496","39,113","18,091","2,121","73"
"서울특별시 은평구 녹번동(1138051000)","36,727","36,727","2,330","2,152","4,821","5,961","5,473","5,897","5,325","3,116","1,466","180","6"
"서울특별시 은평구 불광제1동(1138052000)","38,268","38,268","2,095","2,492","5,062","5,337","5,594","6,562","5,785","3,406","1,727","201","7"
"서울특별시 은평구 불광제2동(1138053000)","27,269","27,269","948","1,620","4,044","3,804","3,551","4,677","4,509","2,726","1,242","144","4"
"서울특별시 은평구 갈현제1동(1138055100)","21,241","21,241","784","1,357","3,280","2,799","2,923","3,706","3,498","1,976","813","100","5"
"서울특별시 은평구 갈현제2동(1138055200)","28,030","28,030","1,309","2,252","4,251","3,732","4,369","4,816","3,858","2,300","1,048","94","1"
"서울특별시 은평구 구산동(1138056000)","32,143","32,143","1,571","2,716","4,419","3,971","4,831","5,625","4,854","2,770","1,238","143","5"
"서울특별시 은평구 대조동(1138057000)","26,835","26,835","1,013","1,508","4,736","4,305","3,752","4,228","3,648","2,371","1,142","126","6"
"서울특별시 은평구 응암제1동(1138058000)","32,940","32,940","2,493","2,705","4,356","5,437","5,513","4,952","3,977","2,346","1,045","115","1"
